[00:11:16.411] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'cr_weight': 0.1,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_runs/vema',
 'gpu_id': 0,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet',
 'model2': 'unet',
 'num_classes': 4,
 'p_cm': 0.3,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
[00:11:16.905] Total silices is: 1312, labeled slices is: 68
[00:11:16.905] 103 iterations per epoch
[00:11:45.335] iteration:88  t-loss1/2:0.1595/0.2254, loss-lb1/2:0.1562/0.2194, loss-ulb1/2:0.2407/0.4471, weight:0.01, lr:0.0010
[00:11:45.670] iteration:89  t-loss1/2:0.1526/0.2228, loss-lb1/2:0.1454/0.2167, loss-ulb1/2:0.5352/0.4561, weight:0.01, lr:0.0010
[00:11:46.007] iteration:90  t-loss1/2:0.1530/0.2210, loss-lb1/2:0.1450/0.2142, loss-ulb1/2:0.5937/0.5071, weight:0.01, lr:0.0010
[00:11:46.346] iteration:91  t-loss1/2:0.1880/0.2267, loss-lb1/2:0.1804/0.2201, loss-ulb1/2:0.5610/0.4966, weight:0.01, lr:0.0010
[00:11:46.682] iteration:92  t-loss1/2:0.1023/0.2177, loss-lb1/2:0.0952/0.2109, loss-ulb1/2:0.5321/0.5099, weight:0.01, lr:0.0010
[00:11:47.018] iteration:93  t-loss1/2:0.0913/0.2144, loss-lb1/2:0.0835/0.2078, loss-ulb1/2:0.5841/0.4926, weight:0.01, lr:0.0010
[00:11:47.212] iteration:94  t-loss1/2:0.1058/0.2285, loss-lb1/2:0.1005/0.2235, loss-ulb1/2:0.3910/0.3685, weight:0.01, lr:0.0010
[00:11:47.548] iteration:95  t-loss1/2:0.1681/0.2291, loss-lb1/2:0.1597/0.2220, loss-ulb1/2:0.6271/0.5267, weight:0.01, lr:0.0010
[00:11:47.884] iteration:96  t-loss1/2:0.1278/0.2201, loss-lb1/2:0.1204/0.2139, loss-ulb1/2:0.5504/0.4625, weight:0.01, lr:0.0010
[00:11:48.222] iteration:97  t-loss1/2:0.1195/0.2187, loss-lb1/2:0.1122/0.2123, loss-ulb1/2:0.5445/0.4743, weight:0.01, lr:0.0010
[00:11:48.558] iteration:98  t-loss1/2:0.1166/0.2096, loss-lb1/2:0.1096/0.2035, loss-ulb1/2:0.5208/0.4549, weight:0.01, lr:0.0010
[00:11:48.893] iteration:99  t-loss1/2:0.1130/0.2203, loss-lb1/2:0.1051/0.2133, loss-ulb1/2:0.5864/0.5132, weight:0.01, lr:0.0010
[00:11:49.230] iteration:100  t-loss1/2:0.0936/0.2250, loss-lb1/2:0.0865/0.2192, loss-ulb1/2:0.5224/0.4346, weight:0.01, lr:0.0010
[00:11:49.566] iteration:101  t-loss1/2:0.1474/0.2223, loss-lb1/2:0.1397/0.2156, loss-ulb1/2:0.5654/0.4960, weight:0.01, lr:0.0010
[00:11:49.901] iteration:102  t-loss1/2:0.0943/0.2039, loss-lb1/2:0.0869/0.1978, loss-ulb1/2:0.5557/0.4520, weight:0.01, lr:0.0010
[00:11:50.238] iteration:103  t-loss1/2:0.1526/0.2141, loss-lb1/2:0.1448/0.2074, loss-ulb1/2:0.5827/0.4973, weight:0.01, lr:0.0010
[00:12:01.681]  <<Test>> - Ep:0  - mean_dice/mean_h95 - M1:26.62/75.04, Best-1:26.62, M2:29.47/24.98, Best-2:29.47
[00:12:01.681]           - AvgLoss1(lb/ulb/all):0.3509/0.5359/0.1360- AvgLoss2(lb/ulb/all):0.3284/0.4806/0.2214
[00:12:02.379] iteration:104  t-loss1/2:0.1125/0.2110, loss-lb1/2:0.1034/0.2028, loss-ulb1/2:0.6747/0.6033, weight:0.01, lr:0.0010
[00:12:02.716] iteration:105  t-loss1/2:0.1005/0.2122, loss-lb1/2:0.0927/0.2061, loss-ulb1/2:0.5757/0.4537, weight:0.01, lr:0.0010
[00:12:02.912] iteration:106  t-loss1/2:0.1262/0.2131, loss-lb1/2:0.1221/0.2081, loss-ulb1/2:0.2988/0.3668, weight:0.01, lr:0.0010
[00:12:03.248] iteration:107  t-loss1/2:0.1064/0.2152, loss-lb1/2:0.0992/0.2096, loss-ulb1/2:0.5311/0.4199, weight:0.01, lr:0.0010
[00:12:03.583] iteration:108  t-loss1/2:0.0855/0.2036, loss-lb1/2:0.0784/0.1979, loss-ulb1/2:0.5291/0.4200, weight:0.01, lr:0.0010
[00:12:03.922] iteration:109  t-loss1/2:0.1744/0.2027, loss-lb1/2:0.1675/0.1964, loss-ulb1/2:0.5075/0.4666, weight:0.01, lr:0.0010
[00:12:04.114] iteration:110  t-loss1/2:0.0911/0.2065, loss-lb1/2:0.0885/0.2013, loss-ulb1/2:0.1895/0.3871, weight:0.01, lr:0.0010
[00:12:04.308] iteration:111  t-loss1/2:0.1167/0.1911, loss-lb1/2:0.1113/0.1864, loss-ulb1/2:0.4058/0.3541, weight:0.01, lr:0.0010
[00:12:04.643] iteration:112  t-loss1/2:0.1121/0.1863, loss-lb1/2:0.1053/0.1805, loss-ulb1/2:0.5012/0.4290, weight:0.01, lr:0.0010
[00:12:04.978] iteration:113  t-loss1/2:0.1452/0.1882, loss-lb1/2:0.1386/0.1826, loss-ulb1/2:0.4897/0.4194, weight:0.01, lr:0.0010
[00:12:05.173] iteration:114  t-loss1/2:0.1159/0.1913, loss-lb1/2:0.1137/0.1864, loss-ulb1/2:0.1639/0.3623, weight:0.01, lr:0.0010
[00:12:05.508] iteration:115  t-loss1/2:0.1009/0.2102, loss-lb1/2:0.0938/0.2038, loss-ulb1/2:0.5280/0.4819, weight:0.01, lr:0.0010
[00:12:05.702] iteration:116  t-loss1/2:0.0807/0.2077, loss-lb1/2:0.0790/0.2027, loss-ulb1/2:0.1314/0.3704, weight:0.01, lr:0.0010
[00:12:06.038] iteration:117  t-loss1/2:0.1401/0.2180, loss-lb1/2:0.1326/0.2110, loss-ulb1/2:0.5583/0.5215, weight:0.01, lr:0.0010
[00:12:06.374] iteration:118  t-loss1/2:0.0857/0.2134, loss-lb1/2:0.0784/0.2067, loss-ulb1/2:0.5412/0.4976, weight:0.01, lr:0.0010
[00:12:06.568] iteration:119  t-loss1/2:0.1346/0.2109, loss-lb1/2:0.1321/0.2062, loss-ulb1/2:0.1850/0.3495, weight:0.01, lr:0.0010
[00:12:06.904] iteration:120  t-loss1/2:0.1327/0.2003, loss-lb1/2:0.1255/0.1939, loss-ulb1/2:0.5308/0.4787, weight:0.01, lr:0.0010
[00:12:07.101] iteration:121  t-loss1/2:0.1224/0.1922, loss-lb1/2:0.1172/0.1882, loss-ulb1/2:0.3818/0.2969, weight:0.01, lr:0.0010
[00:12:07.439] iteration:122  t-loss1/2:0.0881/0.1849, loss-lb1/2:0.0825/0.1793, loss-ulb1/2:0.4117/0.4209, weight:0.01, lr:0.0010
[00:12:07.775] iteration:123  t-loss1/2:0.1559/0.1936, loss-lb1/2:0.1501/0.1882, loss-ulb1/2:0.4267/0.4032, weight:0.01, lr:0.0010
[00:12:08.136] iteration:124  t-loss1/2:0.0952/0.1961, loss-lb1/2:0.0887/0.1902, loss-ulb1/2:0.4829/0.4412, weight:0.01, lr:0.0010
[00:12:08.334] iteration:125  t-loss1/2:0.1609/0.2140, loss-lb1/2:0.1571/0.2091, loss-ulb1/2:0.2828/0.3610, weight:0.01, lr:0.0010
[00:12:08.671] iteration:126  t-loss1/2:0.0740/0.1888, loss-lb1/2:0.0677/0.1834, loss-ulb1/2:0.4657/0.3955, weight:0.01, lr:0.0010
[00:12:09.006] iteration:127  t-loss1/2:0.0930/0.1627, loss-lb1/2:0.0865/0.1573, loss-ulb1/2:0.4875/0.3992, weight:0.01, lr:0.0010
[00:12:09.344] iteration:128  t-loss1/2:0.1075/0.1979, loss-lb1/2:0.1005/0.1923, loss-ulb1/2:0.5197/0.4187, weight:0.01, lr:0.0010
[00:12:09.681] iteration:129  t-loss1/2:0.0882/0.1753, loss-lb1/2:0.0814/0.1696, loss-ulb1/2:0.5045/0.4276, weight:0.01, lr:0.0010
[00:12:10.018] iteration:130  t-loss1/2:0.0843/0.1781, loss-lb1/2:0.0777/0.1726, loss-ulb1/2:0.4929/0.4047, weight:0.01, lr:0.0010
[00:12:10.211] iteration:131  t-loss1/2:0.1070/0.1771, loss-lb1/2:0.1021/0.1731, loss-ulb1/2:0.3653/0.2971, weight:0.01, lr:0.0010
[00:12:10.547] iteration:132  t-loss1/2:0.0985/0.1936, loss-lb1/2:0.0925/0.1889, loss-ulb1/2:0.4438/0.3484, weight:0.01, lr:0.0010
[00:12:10.883] iteration:133  t-loss1/2:0.0905/0.1924, loss-lb1/2:0.0827/0.1856, loss-ulb1/2:0.5775/0.5013, weight:0.01, lr:0.0010
[00:12:11.222] iteration:134  t-loss1/2:0.0997/0.1717, loss-lb1/2:0.0924/0.1656, loss-ulb1/2:0.5407/0.4516, weight:0.01, lr:0.0010
[00:12:11.558] iteration:135  t-loss1/2:0.0884/0.1866, loss-lb1/2:0.0823/0.1817, loss-ulb1/2:0.4529/0.3616, weight:0.01, lr:0.0010
[00:12:11.751] iteration:136  t-loss1/2:0.1022/0.1922, loss-lb1/2:0.0979/0.1880, loss-ulb1/2:0.3175/0.3102, weight:0.01, lr:0.0010
